长兴路98弄	协和海琴花园海欣城	135万元	104平米	2000
洞泾镇同乐路77弄	海茂公寓	115万元	81平米	2000
长兴路98弄	协和海琴花园海欣城	125万元	91平米	2008
长兴路98弄	协和海琴花园海欣城	123万元	91平米	2008
松江区洞泾镇洞莘路317弄	海利苑	110万元	80平米	1998
松江区洞泾镇洞莘路317弄	海利苑	120万元	96平米	1998
长兴路98弄	协和海琴花园海欣城	160万元	124平米	2005
长兴路98弄	协和海琴花园海欣城	180万元	155平米	2000
洞宁路655弄	润景苑	110万元	86平米	2009
洞宁路655弄	润景苑	140万元	130平米	2009
长兴路98弄	协和海琴花园海欣城	138万元	108平米	2000
长兴路98弄	协合海琴花园	146万元	118平米	2005
长兴路98弄	协和海琴花园海欣城	135万元	104平米	2000
洞宁路655弄	润景苑	120万元	86平米	2008
明华路366弄	绿洲比华利花园	1200万元	404平米	2000
文翔路3688弄	复地翠堤苑别墅	300万元	198平米	2006
龙源路1208弄	山水景苑	173万元	99平米	2006
梅家浜路1505弄	星辰园	1250万元	517平米	2004
文翔路3688弄	复地翠堤苑	150万元	84平米	2006
龙马路185弄	誉品谷水湾	380万元	187平米	2014
广富林路1599弄	三湘四季花城四期玉兰	170万元	70平米	2006
文翔路3688弄	复地翠堤苑别墅	330万元	203平米	2006
谷阳北路2399弄	御上海	130万元	67平米	2009
谷阳北路2399弄	御上海	270万元	132平米	2009
广富林路1599弄	三湘四季花城三期	210万元	116平米	2007
仓华路999弄	绿地凯旋宫	380万元	180平米	2014
梅家浜路1500弄	三湘四季花城财富广场	118万元	61平米	2012
辰花路839弄	怡林花园二期	168万元	86平米	2014
广富林路1188弄	保利西子湾	130万元	60平米	2010
广富林路1188弄	保利西子湾	260万元	140平米	2010
辰花路839弄	莱顿小城	218万元	153平米	2006
梅家浜路1508弄	三湘四季花城二期	268万元	125平米	2005
广富林路1599弄、梅家浜路	三湘四季花城	250万元	125平米	2006
莘松路999弄	浅水湾花园	657万元	248平米	2003
涞亭南路888弄	三盛颐景园	185万元	95平米	2006
莘松路1111号	桃花源田庄	600万元	215平米	2004
新桥镇明中路1777弄	新弘国际城	125万元	88平米	2014
广富林路1599弄、梅家浜路	三湘四季花城	240万元	118平米	2006
明中路1177弄	达安圣芭芭花园	408万元	243平米	2005
广富林路1518弄(嘉松南路	绿地蔷薇九里	230万元	130平米	2012
莘松路1111号	桃花源田庄	650万元	265平米	2004
荣乐西路266弄	维罗纳贵都	173万元	110平米	2007
新家园路128弄	新凯家园二期	140万元	78平米	2009
莘松路1500弄	荣盛名邸	190万元	111平米	2005
明中路1177弄	达安圣芭芭花园	320万元	197平米	2014
新桥镇明中路1777弄	新弘国际城	140万元	104平米	2014
莘松路1288弄	绿洲香岛	183万元	89平米	2006
莘松路1500弄	荣盛名邸	150万元	90平米	2005
新南路1号(明兴路口)	新南路壹号	220万元	108平米	2012
林荫新路255弄、1888弄	月湖山庄	2200万元	620平米	2011
新南路1088号	丽水华庭别墅	325万元	192平米	2006
新桥车新公路2号	上海家天下花园别墅	357万元	256平米	2007
莘松路1155弄	雅仕轩别墅	330万元	181平米	2006
九杜路1000弄、涞坊路65	中大九里德	198万元	97平米	2007
泗泾镇古楼路1198号	同润菲诗艾伦	300万元	144平米	2014
莘松路1288弄	绿洲香岛	155万元	88平米	2010
茜蒲路651弄	晨星小区	92万元	92平米	2004
沪亭北路338弄	贝尚湾	225万元	98平米	2008
沈砖公路3899弄、昆公路3	中凯曼荼园	4500万元	480平米	2010
荣乐中路835弄	松乐苑	203万元	138平米	2005
莘松路999弄	浅水湾花园	488万元	220平米	2003
涞坊路1199弄	上海公馆	600万元	270平米	2007
明中路699弄(明中路南,明	龙祥御院	1200万元	752平米	2009
古楼公路1858弄	新凯家园	168万元	95平米	2006
涞寅路658弄	绿庭尚城	145万元	66平米	2008
莘闵别墅区莘松路1500弄	万宇荣盛名邸三期逸林	365万元	212平米	2012
新桥镇明中路1777弄	新弘国际城	140万元	89平米	2014
新家园路128弄	新凯家园二期	143万元	81平米	2009
莘松路1500弄	荣盛名邸	135万元	78平米	2005
莘松路1500弄	荣盛名邸	178万元	125平米	2005
明中路1010弄	万科白马花园别墅	368万元	200平米	2009
新桥镇明中路1010弄、99	万科白马花园	239万元	121平米	2007
明中路699弄	明中龙祥家园	138万元	89平米	2009
新桥镇明中路1010弄、99	万科白马花园	169万元	85平米	2007
新桥镇明中路1010弄、99	万科白马花园	215万元	108平米	2007
新桥镇明中路1010弄、99	万科白马花园	162万元	82平米	2007
新桥镇明中路1777弄	新弘国际城	150万元	89平米	2014
明中路1177弄	达安圣芭芭花园	378万元	188平米	2014
新南路1088号	丽水华庭别墅	270万元	167平米	2005
新南路1088号	丽水华庭别墅	275万元	160平米	2005
莘松路1155弄	雅仕轩别墅	428万元	275平米	2002
莘松路1150弄	龙祥公寓	193万元	117平米	2005
新家园路128弄	新凯家园二期	140万元	77平米	2009
佘山国家森林度假区佘北公路6	世茂佘山庄园	6500万元	909平米	null
古楼公路1858弄	新凯家园	135万元	78平米	2006
松江新城文翔路928弄	大学城松云水苑	196万元	154平米	2005
明中路1588弄	沿海郦墅	450万元	178平米	2010
新家园路128弄	新凯家园二期	138万元	78平米	2009
明中路1588弄	沿海郦墅	380万元	218平米	2010
佘山镇千新公路718弄	世茂佘山里	305万元	135平米	2014
明中路1010弄	万科白马花园别墅	415万元	260平米	2009
莘松路1500弄	荣盛名邸	145万元	89平米	2005
莘松路999弄	浅水湾花园	480万元	230平米	2008
春九路188弄	伊莎士花园	380万元	178平米	2003
明中路699弄(明中路南,明	龙祥御院	410万元	200平米	2009
明中路275弄	欣绿名苑	430万元	219平米	2005
新南路555弄、新南路501	同润别庄	550万元	258平米	2003
新南路555弄、新南路501	同润别庄	400万元	200平米	2003
明华路366弄	绿洲比华利花园	800万元	268平米	2000
新桥镇新南路1259弄	意境雅苑	430万元	226平米	2007
春莘路200弄	云间水庄别墅	520万元	291平米	2004
莘松路1150弄	龙祥公寓	178万元	107平米	2005
莘松路1288弄	绿洲香岛	190万元	89平米	2006
莘松路1500弄	荣盛名邸	165万元	110平米	2005
新南路501弄	同润加州	210万元	135平米	2005
莘松路1288弄	绿洲香岛	285万元	150平米	2006
新桥镇明中路1010弄、99	万科白马花园	140万元	68平米	2007
新南路1号(明兴路口)	绿地新南路壹号公寓	200万元	76平米	2012
新南路555弄、新南路501	同润加州别墅	290万元	147平米	2003
新南路586号	雅仕轩六期别墅	330万元	143平米	2014
新南路586号	雅仕轩六期别墅	366万元	143平米	2014
春九路88弄	乔爱别墅城	600万元	255平米	2005
新家园路128弄	新凯家园二期	145万元	81平米	2009
古楼公路1858弄	新凯家园	160万元	94平米	2006
涞寅路658弄	绿庭尚城	178万元	103平米	2010
新桥镇明中路1010弄、99	万科白马花园	163万元	76平米	2007
雪家桥路1号	象屿品城	190万元	82平米	2014
新桥车新公路2号	上海家天下花园别墅	300万元	191平米	2004
古楼公路1858弄	新凯家园	165万元	98平米	2006
九亭大街105弄	上海诗林别墅	410万元	247平米	2004
广富林路1599弄、梅家浜路	三湘四季花城	220万元	125平米	2006
沪松公路2818弄	中京苑	155万元	130平米	2004
泗凤公路1718弄	新凯家园三期	88万元	62平米	2011
林荫新路255弄、1888弄	月湖山庄	2200万元	620平米	2011
泗陈公路501弄	西南名苑	270万元	133平米	2004
泗凤公路1718弄	新凯家园三期	95万元	67平米	2011
泗泾镇文化路256弄	大名公寓	185万元	133平米	2005
新家园路128弄	新凯家园二期	140万元	81平米	2009
横港路643号、古楼公路34	金港花园二期	160万元	104平米	2005
泗凤公路1718弄	新凯家园三期	105万元	72平米	2011
古楼路1899号	米兰诺贵都	150万元	89平米	2013
沪松公路2972弄	绿波景园	140万元	93平米	2010
泗凤公路1718弄	新凯家园三期	89万元	69平米	2011
新家园路128弄	新凯家园二期	140万元	77平米	2009
古楼公路1858弄	新凯家园	135万元	78平米	2006
松江泗泾横港路49弄	祥和公寓	230万元	130平米	2005
横港公路155弄	金港花园	160万元	107平米	2006
新家园路128弄	新凯家园二期	155万元	78平米	2009
古楼公路1858弄	新凯家园	135万元	82平米	2006
新家园路128弄	新凯家园二期	155万元	78平米	2009
古楼公路1858弄	新凯家园	135万元	82平米	2006
新家园路128弄	新凯家园二期	154万元	78平米	2011
泗凤公路1718弄	新凯家园三期	88万元	69平米	2013
泗凤公路1718弄	新凯家园三期	135万元	89平米	2013
古楼路1899号	米兰诺贵都	165万元	91平米	2013
九新公路33弄	青春驿站	103万元	41平米	2006
春莘路200弄	云间水庄别墅	495万元	238平米	2004
洞泾镇莘砖公路3118弄	保利十二橡树庄园	380万元	308平米	2007
新南路1088号	丽水华庭别墅	350万元	245平米	2005
莘砖公路555弄	英郡雷丁	390万元	232平米	2010
莘松路1500弄	荣盛名邸	200万元	142平米	2005
泗泾镇鼓浪路787弄、801	润和苑	168万元	98平米	2005
古楼公路1858弄	新凯家园	168万元	95平米	2006
涞坊路699弄5、6、9、1	汇贤阁	288万元	146平米	2008
九亭镇九杜路505弄	摩卡小城	200万元	115平米	2009
九杜路1000弄、涞坊路65	中大九里德	230万元	115平米	2011
新南路555弄、新南路501	同润别庄	400万元	200平米	2003
明华路366弄	绿洲比华利花园	800万元	268平米	2000
新桥镇新南路1259弄	意境雅苑	430万元	226平米	2007
春莘路200弄	云间水庄别墅	520万元	291平米	2004
莘松路1150弄	龙祥公寓	178万元	107平米	2005
莘松路1288弄	绿洲香岛	190万元	89平米	2006
莘松路1500弄	荣盛名邸	165万元	110平米	2005
新南路501弄	同润加州	210万元	135平米	2005
莘松路1288弄	绿洲香岛	285万元	150平米	2006
新桥镇明中路1010弄、99	万科白马花园	140万元	68平米	2007
新南路1号(明兴路口)	绿地新南路壹号公寓	200万元	76平米	2012
新南路555弄、新南路501	同润加州别墅	290万元	147平米	2003
新南路586号	雅仕轩六期别墅	330万元	143平米	2014
新南路586号	雅仕轩六期别墅	366万元	143平米	2014
春九路88弄	乔爱别墅城	600万元	255平米	2005
新家园路128弄	新凯家园二期	145万元	81平米	2009
