番禺路801弄 乐山一村 320万元 86平米 1995
番禺路900号 番禺大楼 370万元 89平米 1997
番禺路1099弄 东方时空公寓 230万元 45平米 2003
番禺路800弄 番禺小区 160万元 40平米 1988
番禺路1199弄近凯旋路 璇宇花园 25万元 43平米 2004
番禺路1151弄、1160弄 番南小区 275万元 56平米 1995
天等路430弄 书香苑 235万元 84平米 1999
天等路259弄 阳光新景 548万元 143平米 2002
天等路258弄 阳光绿园 700万元 202平米 2002
漕宝路77弄、漕宝路73号 万科华尔兹 506万元 125平米 2002
漕宝路77弄、漕宝路73号 万科华尔兹花园 650万元 160平米 2002
漕宝路88号 光大会展中心 205万元 92平米 2003
湖南路20弄 湖南路20弄洋房 4400万元 302平米 1927
湖南路洋房 湖南路洋房 4598万元 302平米 1926
湖南路新里 湖南路新里 890万元 103平米 1936
湖南路579弄 湖南路579弄小区 320万元 54平米 1984
湖南路308弄 兴国苑 600万元 113平米 1996
太原路新里 太原路新里 2800万元 242平米 1948
太原路289弄 太原邸 860万元 165平米 2008
太原路洋房 太原路洋房 290万元 33平米 1937
东湖路56弄 东湖路洋房 6500万元 440平米 1928
8室2厅，1/3层，61069元/平米，南北向，建筑年代：1936 8室2厅，1/3层，61069元/平米，南北向，建筑年代：1936 3200万元 524平米 null
上中路55号 长桥一村 185万元 37平米 1988
上中西路151弄 梅陇十一村 155万元 48平米 1995
上中西路120弄 长陇苑 198万元 73平米 1999
上中路289弄 鑫隆花园 238万元 90平米 1999
上中路483号 中恒苑 145万元 47平米 1999
上中路61号 长桥五村 200万元 43平米 1989
上中路51弄 书香逸居 375万元 96平米 2006
上中西路122弄 锦梅苑 355万元 136平米 2008
龙水南路358弄1号 叠加苑 350万元 110平米 2002
龙水北路900弄,龙华西路2 上缝小区 118万元 35平米 2014
龙水南路200号 龙南五村 200万元 73平米 1995
龙水北路998弄 龙缘公寓 428万元 111平米 2004
枫林路269弄、斜土路164 金星苑 315万元 87平米 1998
华发路333弄 徐汇臻园 850万元 267平米 2007
华发路406弄 馨宁公寓 215万元 83平米 2011
华发路99弄 明丰新纪苑 400万元 128平米 2007
华发路58弄 徐汇华园 360万元 125平米 2006
华发路333号 徐汇臻园二期 470万元 150平米 2006
华发路90弄、华发路180弄 华发小区 275万元 102平米 2002
华发路333弄、华发路8号 徐汇臻园别墅 800万元 267平米 2007
华发路99弄 徐汇新干线 290万元 92平米 2007
五原路258号 自由公寓 1198万元 156平米 1932
五原路洋房 五原路洋房 5750万元 339平米 1949
华山路1765弄1、2号 海斯大厦 370万元 92平米 1996
嘉善路258弄1-2号 年平花苑 500万元 120平米 1999
嘉善路232弄 嘉善路232弄小区 280万元 47平米 1998
嘉善路238弄 嘉善路新里 115万元 14平米 1936
安亭路81弄 安亭路81弄洋房 5500万元 389平米 1937
安亭路139弄 建安花园 152万元 60平米 1999
小闸镇街123号 南林公寓 430万元 125平米 2004
东泉路50弄、64弄、104 东泉小区 160万元 49平米 2000
东泉路188弄 挹翠苑 320万元 92平米 2000
东泉路185弄 东泉佳苑 195万元 72平米 1994
长桥路14弄 长桥四村 170万元 61平米 1988
永康路141弄 永康路141弄小区 162万元 26平米 1936
永康路新里 永康路新里 275万元 54平米 1938
永康路175弄 永康路175弄小区 200万元 30平米 1981
医学院路72弄枫林路 清枫大楼 280万元 74平米 1993
医学院路5弄1-5号、大木桥 祥和公寓徐汇 298万元 83平米 2004
医学院路110弄近枫林路 中山新村 190万元 52平米 1986
医学院路15号 嘉馨公寓 536万元 134平米 2005
乌鲁木齐中路99弄 汇贤居 930万元 167平米 2004
乌鲁木齐南路288号 睿园 660万元 132平米 2000
乌鲁木齐南路299号 联业大厦 570万元 150平米 1999
乌鲁木齐南路157号 乌鲁木齐南路157号 270万元 40平米 2000
宾阳路50弄 咏蝶苑 85万元 64平米 1999
宾阳路28弄 保利星苑 510万元 132平米 2003
宾阳路50弄1-11号 梦蝶苑 435万元 138平米 1997
宾阳路62弄 乾骏大厦 500万元 165平米 2005
宋园路128号 虹桥大仕馆云峰苑 440万元 113平米 2000
徐汇区桂林西街85弄 中星虹漕公寓 580万元 137平米 2000
徐汇区桂林路567弄 长春新苑 264万元 72平米 1996
徐汇区百色路 汇成二村 118万元 41平米 1995
华展路55弄 光华绿苑 160万元 72平米 2004
余庆路189号近衡山路 华侨公寓 850万元 149平米 1960
龙州路975号 梅陇四村 175万元 63平米 1994
龙州路嘉川路 梅陇八村 231万元 79平米 1994
罗城路651弄、罗城路799 华东花苑 230万元 73平米 1998
罗城路700弄 罗城路700弄小区 205万元 69平米 1998
罗城路570弄 恒龙苑 255万元 92平米 1996
罗城路700弄 罗城小区 200万元 69平米 1998
漕溪北路28号、漕溪北路38 实业公寓 350万元 91平米 1992
漕溪北路99弄 尊园 720万元 148平米 2003
漕溪北路750号 漕溪大楼 310万元 71平米 1989
漕溪北路737弄 汇翠花园 550万元 133平米 2002
漕溪路125弄 金谷园 280万元 80平米 1998
漕溪北路689号、零陵路77 鑫国家园 565万元 117平米 2000
漕溪路251弄 望族城 455万元 147平米 1997
漕溪北路555号(南丹东路口 亚都国际名园二期 620万元 137平米 2004
肇嘉浜路1029弄,辛耕路1 永新花苑 800万元 175平米 2003
肇嘉浜路688号 徐家汇景福苑 630万元 133平米 2004
肇嘉浜路417弄 中科新苑 630万元 155平米 2000
肇嘉浜路9弄 汇峰鼎园 1200万元 201平米 2008
肇嘉浜路288号 鼎新大厦 510万元 162平米 1997
肇嘉浜路393号 兴南花园 345万元 111平米 2000
肇嘉浜路366号 裕华大厦 405万元 118平米 2008
肇嘉浜路999弄、肇嘉浜路8 兆丰帝景苑 620万元 114平米 2004
肇嘉浜路201号 衡园 600万元 119平米 2003
肇嘉浜路1018弄 汇金广场 695万元 139平米 1998
肇嘉浜路1001号、肇嘉浜路 兆丰帝景苑 900万元 155平米 2004
肇嘉浜路99弄1-2号 瑞嘉公寓 580万元 137平米 2000
肇嘉浜路383弄 嘉乐公寓 335万元 73平米 1984
肇嘉浜路446弄 伊泰利大厦 600万元 148平米 1997
肇嘉浜路433号 金兰花苑 560万元 171平米 1996
文定路81弄 锦汇苑 420万元 96平米 1999
文定路87号 文定路87号公房 290万元 46平米 1984
文定路288弄 文定天下苑 570万元 98平米 2002
