车站北路624弄	华二小区	120万元	40平米	1994
海伦路350号	申强公寓	350万元	93平米	2000
辉河路40弄	林云小区	98万元	36平米	1991
凉城路1188弄	一品新筑苑	325万元	94平米	2005
海伦路88弄	浦江名邸	510万元	141平米	2004
曲阳路118弄	飘鹰东方花园	348万元	97平米	2003
物华路246弄	爱家豪庭	400万元	96平米	2008
三门路719号、三门路747	海尚逸苑	152万元	54平米	2008
广粤路1500弄	学府花苑	252万元	95平米	1998
玉田路220弄	密二小区	127万元	40平米	1986
吴淞路205号、武昌路258	恒升半岛酒店公寓	148万元	44平米	2001
欧阳路555弄8-16号	欧阳名邸	420万元	109平米	2003
广灵四路881弄	万峰梦湖苑	330万元	96平米	2004
曲阳路428弄	悦华小区	280万元	92平米	1998
广灵四路881弄	万峰梦湖苑	395万元	122平米	2004
临平路333弄	瑞虹新城	480万元	130平米	2005
东大名路888号	新外滩花苑	2000万元	300平米	2001
车站北路177弄	虹口玫瑰苑	240万元	87平米	2001
曲阳路163号	宏城公寓	520万元	145平米	2000
广中路680弄1-28号	珊瑚苑	370万元	103平米	2001
汶水东路141弄	汶水东路141弄小区	118万元	45平米	1994
临平路133弄	瑞虹新城二期	309万元	48平米	2004
逸仙路1230弄1-31号	镇北小区	105万元	45平米	1996
玉田路270弄	商检公寓	490万元	127平米	1999
广灵二路近新市路	商业二村	89万元	34平米	1966
赤峰路373弄	赤峰路373弄小区	180万元	52平米	2014
临平路133弄	瑞虹新城二期	675万元	122平米	2005
四平路480弄、四平路460	新陆花苑	265万元	73平米	1999
昆明路388弄	鸿旭豪苑	330万元	87平米	2010
通州路415弄1-10号	垦业小区	150万元	50平米	1995
广中支路10弄1-52号,广	商业一村	280万元	100平米	1982
汶水东路298弄1-3号	景明花园中环明珠	550万元	130平米	2005
广粤路1500弄	学府花苑	185万元	71平米	1998
汶水东路298弄1-3号	景明花园(中环明珠)	388万元	105平米	2005
辉河路25弄	原林小区	240万元	94平米	1992
吴淞路669号	申贝大厦	388万元	113平米	2003
水电路1130弄	虹景公寓	280万元	92平米	1999
玉田路400弄、玉田路414	东体小区	175万元	55平米	1989
车站北路177弄	虹口玫瑰苑	290万元	86平米	2001
物华路246弄	爱家豪庭	510万元	113平米	2007
广粤路150弄	中虹虹韵家园	480万元	133平米	2003
玉田路400弄、玉田路414	东体小区	165万元	47平米	1985
周家嘴路1063弄	飘鹰花苑	370万元	97平米	2000
曲阳路820弄	八一小区	300万元	81平米	1987
天宝西路242弄	祥东小区	175万元	60平米	1988
虹口区同丰路667弄	紫金公馆	130万元	50平米	2013
车站北路715弄、车站北路7	文苑小区	110万元	42平米	1996
场中路4弄	逸仙小区	130万元	51平米	1991
峨嵋路299弄	耀江国际广场公寓	630万元	165平米	2005
武昌路338号	豪景苑	1150万元	158平米	2011
广灵四路881弄	万峰梦湖苑	335万元	98平米	2004
凉城路489号	中虹丽都苑	300万元	89平米	2002
水电路1119弄	上地公寓	340万元	113平米	2002
武昌路338号	豪景苑	850万元	116平米	2013
广纪路65弄	合虹公寓	438万元	115平米	2001
临平路133弄	瑞虹新城二期	645万元	120平米	2005
天宝路59弄1-9号	润欣公寓	290万元	79平米	2000
玉田路400弄、玉田路414	东体小区	165万元	47平米	1985
广粤路1577弄、万安路13	良辰美景	330万元	107平米	2001
虬江支路180弄、四川北路1	玫瑰广场	320万元	89平米	2007
汶水东路505弄、汶水东路5	东方公寓	185万元	65平米	1999
物华路118弄	中信虹港名庭	420万元	89平米	2011
凉城路489号	中虹丽都苑	480万元	143平米	2002
广灵四路360弄	科兰公寓	110万元	40平米	1993
水电路191弄1-42号、水	何家宅小区	110万元	36平米	1986
玉田路220弄	密二小区	127万元	40平米	1986
九龙路515号、九龙路55号	久耕小区	135万元	41平米	1993
水电路609弄	新中新村	115万元	47平米	1958
奎照路320弄1-18号、水	海湾新苑	240万元	80平米	1998
四平路758弄、四平路750	金轩大邸	680万元	170平米	2004
物华路246弄	爱家豪庭	580万元	141平米	2007
广粤路1577弄、万安路13	良辰美景	235万元	83平米	2001
中山北二路1631号	曲阳邮政大楼	390万元	113平米	null
玉田路400弄、玉田路414	东体小区	160万元	50平米	1989
黄山路77号	黄山坊	225万元	92平米	2006
广中路680弄1-28号	珊瑚苑	360万元	109平米	2003
周家嘴路1063弄	飘鹰花苑	360万元	93平米	2000
新市南路515弄	新电小区	220万元	89平米	1998
凉城路1201弄1-77单号	凉城路1201弄小区	120万元	47平米	1996
密云路471弄	密云路471弄小区	128万元	40平米	1985
赤峰路370弄曲阳路630弄	赤峰小区	122万元	35平米	1985
大连西路165弄、195弄,	大西小区	145万元	52平米	1989
广灵四路572弄、凉城路46	秀苑小区	380万元	134平米	1996
万安路669弄1-32号	景瑞花园	210万元	75平米	1996
玉田路400弄、玉田路414	东体小区	167万元	52平米	1989
凉城路838弄、奎照路628	中星凉城苑	280万元	89平米	2002
凉城路139弄	中虹花园锦绣文华	340万元	97平米	2005
临平北路89弄	正润欧洲花园	475万元	110平米	1998
罗浮路89弄	金芙世纪公寓	400万元	103平米	2004
虹口区同丰路667弄	紫金公馆	110万元	41平米	2010
万安路1213弄1-85单号	万康小区	175万元	67平米	1995
玉田路220弄	密二小区	127万元	40平米	1986
株洲路399弄	宝华城市花园	520万元	145平米	2011
临平路133弄	瑞虹新城二期	580万元	119平米	2004
周家嘴路338号(新建路口)	馨虹苑	355万元	99平米	2003
同心路1035弄/1045弄	宏苑小区	255万元	86平米	1997
三门路759弄	三门路759弄小区	22万元	12平米	1997
赤峰路600弄1-18号、东	邮电二村	215万元	53平米	1988
临平路133弄	瑞虹新城二期	450万元	90平米	2005
玉田路400弄、玉田路414	东体小区	168万元	53平米	1989
宝安路1号(近溧阳路、四平路	溧阳华府	450万元	105平米	2008
水电路108弄	水电路108弄小区	130万元	48平米	1993
新市南路999号	福赐新苑	260万元	80平米	2000
欧阳路328、318、322	绿缘小区	386万元	94平米	1999
四平路283弄	虹临花园	310万元	79平米	1995
广粤路1500弄	学府花苑	300万元	122平米	1997
华昌路68弄	海伦新苑	480万元	130平米	2004
临平路333弄	瑞虹新城	600万元	125平米	2003
天宝路59弄1-9号	润欣公寓	290万元	79平米	2000
玉田路400弄、玉田路414	东体小区	165万元	47平米	1985
广粤路1577弄、万安路13	良辰美景	330万元	107平米	2001
虬江支路180弄、四川北路1	玫瑰广场	320万元	89平米	2007
汶水东路505弄、汶水东路5	东方公寓	185万元	65平米	1999
物华路118弄	中信虹港名庭	420万元	89平米	2011
凉城路489号	中虹丽都苑	480万元	143平米	2002
广灵四路360弄	科兰公寓	110万元	40平米	1993
水电路191弄1-42号、水	何家宅小区	110万元	36平米	1986
玉田路220弄	密二小区	127万元	40平米	1986
九龙路515号、九龙路55号	久耕小区	135万元	41平米	1993
水电路609弄	新中新村	115万元	47平米	1958
奎照路320弄1-18号、水	海湾新苑	240万元	80平米	1998
四平路758弄、四平路750	金轩大邸	680万元	170平米	2004
物华路246弄	爱家豪庭	580万元	141平米	2007
广粤路1577弄、万安路13	良辰美景	235万元	83平米	2001
中山北二路1631号	曲阳邮政大楼	390万元	113平米	null
玉田路400弄、玉田路414	东体小区	160万元	50平米	1989
黄山路77号	黄山坊	225万元	92平米	2006
广中路680弄1-28号	珊瑚苑	360万元	109平米	2003
周家嘴路1063弄	飘鹰花苑	360万元	93平米	2000
新市南路515弄	新电小区	220万元	89平米	1998
凉城路1201弄1-77单号	凉城路1201弄小区	120万元	47平米	1996
密云路471弄	密云路471弄小区	128万元	40平米	1985
赤峰路370弄曲阳路630弄	赤峰小区	122万元	35平米	1985
大连西路165弄、195弄,	大西小区	145万元	52平米	1989
广灵四路572弄、凉城路46	秀苑小区	380万元	134平米	1996
万安路669弄1-32号	景瑞花园	210万元	75平米	1996
玉田路400弄、玉田路414	东体小区	167万元	52平米	1989
凉城路838弄、奎照路628	中星凉城苑	280万元	89平米	2002
凉城路139弄	中虹花园锦绣文华	340万元	97平米	2005
临平北路89弄	正润欧洲花园	475万元	110平米	1998
罗浮路89弄	金芙世纪公寓	400万元	103平米	2004
虹口区同丰路667弄	紫金公馆	110万元	41平米	2010
万安路1213弄1-85单号	万康小区	175万元	67平米	1995
玉田路220弄	密二小区	127万元	40平米	1986
株洲路399弄	宝华城市花园	520万元	145平米	2011
临平路133弄	瑞虹新城二期	580万元	119平米	2004
周家嘴路338号(新建路口)	馨虹苑	355万元	99平米	2003
同心路1035弄/1045弄	宏苑小区	255万元	86平米	1997
三门路759弄	三门路759弄小区	22万元	12平米	1997
赤峰路600弄1-18号、东	邮电二村	215万元	53平米	1988
临平路133弄	瑞虹新城二期	450万元	90平米	2005
玉田路400弄、玉田路414	东体小区	168万元	53平米	1989
宝安路1号(近溧阳路、四平路	溧阳华府	450万元	105平米	2008
水电路108弄	水电路108弄小区	130万元	48平米	1993
新市南路999号	福赐新苑	260万元	80平米	2000
欧阳路328、318、322	绿缘小区	386万元	94平米	1999
四平路283弄	虹临花园	310万元	79平米	1995
广粤路1500弄	学府花苑	300万元	122平米	1997
华昌路68弄	海伦新苑	480万元	130平米	2004
临平路333弄	瑞虹新城	600万元	125平米	2003
东汉阳路309弄	名江七星城	700万元	173平米	2003
汶水东路505弄、汶水东路5	东方公寓	205万元	73平米	2001
临平路333弄	瑞虹新城	240万元	51平米	1998
玉田路220弄	密二小区	127万元	40平米	1986
临平北路89弄	正润欧洲花园	420万元	108平米	1998
东长治路665弄	和泰玫瑰园	330万元	86平米	2001
中山北一路201-209,广	广中一村	163万元	58平米	1995
广灵四路280弄	广灵四路280弄小区	170万元	65平米	1993
凉城路1188弄	一品新筑苑	350万元	94平米	2005
东体育会路992弄	曲阳豪庭	550万元	138平米	2001
曲阳路910号、伊敏河路99	复城国际	1600万元	330平米	2009
玉田路400弄、玉田路414	东体小区	155万元	47平米	1985
赤峰路404弄、东体育会路6	双东小区	160万元	37平米	1985
大连路919号	乾鸿苑	370万元	102平米	2000
车站北路400弄1-45号、	星苑小区	173万元	63平米	1993
天宝路66弄	虹口现代公寓	368万元	91平米	2002
丰镇路100弄、华严路228	丰景湾名邸	365万元	98平米	2007
临平路133弄	瑞虹新城二期	458万元	95平米	2004
奎照路679弄7-8号	奎照公寓	186万元	76平米	1998
东大名路888号	新外滩花苑	720万元	117平米	2002
曲阳路58弄	华虹公寓	750万元	200平米	2003
西江湾路206弄	嘉苑公寓	320万元	86平米	1999
海伦路88弄	浦江名邸	630万元	181平米	2004
奎照路791弄	科艺小区	200万元	76平米	1997
水电路1324弄	复旦小区	130万元	46平米	1992
欧阳路289弄	绿洲紫荆花园	1100万元	276平米	2002
广灵四路881弄	万峰梦湖苑	415万元	132平米	2004
长春路158号	虹叶花苑	326万元	116平米	2000
海伦路88弄	浦江名邸	895万元	288平米	2004
恒业路129号	德华苑	410万元	96平米	2003
天宝西路242弄	祥东小区	210万元	60平米	1985
三门路719号、三门路747	海尚逸苑	239万元	89平米	2008
江杨南路55弄	江杨家园	210万元	71平米	2007
玉田路400弄、玉田路414	东体小区	163万元	51平米	1989
纪念路335弄8号	凯阳新寓	70万元	56平米	2003
天宝西路242弄	祥东小区	165万元	40平米	1985
天宝路66弄	虹口现代公寓	420万元	89平米	2002
同心路1035弄/1045弄	宏苑小区	435万元	150平米	1997
广纪路171弄(赤峰路轻轨站	香杉园	510万元	139平米	2006
保定路20弄	云舫小区	200万元	65平米	2005
